Total;Keine Angabe;Land-, Tier-, Forstwirtschaftsberufe;Gartenbauberufe, Floristik;Rohstoffgewinn,Glas-,Keramikverarbeitung;Kunststoff- u. Holzherst.,-verarbeitung;Papier-,Druckberufe, tech.Mediengestalt.;Metallerzeugung,-bearbeitung, Metallbau;Maschinen- und Fahrzeugtechnikberufe;Mechatronik-, Energie- u. Elektroberufe;Techn.Entwickl.Konstr.Produktionssteuer.;Textil- und Lederberufe;Lebensmittelherstellung u. -verarbeitung;Bauplanung,Architektur,Vermessungsberufe;Hoch- und Tiefbauberufe;(Innen-)Ausbauberufe;Gebäude- u. versorgungstechnische Berufe;Mathematik-Biologie-Chemie-,Physikberufe;Geologie-,Geografie-,Umweltschutzberufe;Informatik- und andere IKT-Berufe;Verkehr, Logistik (außer Fahrzeugführ.);Führer von Fahrzeug- u. Transportgeräten;Schutz-,Sicherheits-, Überwachungsberufe;Reinigungsberufe;Einkaufs-, Vertriebs- und Handelsberufe;Verkaufsberufe;Tourismus-, Hotel- und Gaststättenberufe;Berufe Unternehmensführung,-organisation;Finanzdienstl.Rechnungsw.,Steuerberatung;Berufe in Recht und Verwaltung;Medizinische Gesundheitsberufe;Nichtmed.Gesundheit,Körperpfl.,Medizint.;Erziehung,soz.,hauswirt.Berufe,Theologie;Lehrende und ausbildende Berufe;Geistes-Gesellschafts-Wirtschaftswissen.;Werbung,Marketing,kaufm,red.Medienberufe;Produktdesign, Kunsthandwerk;Darstellende, unterhaltende Berufe;Angehörige der regulären Streitkräfte;Datum
2335367;115991;19757;56209;3998;38377;33314;75860;70588;34214;25350;15934;126690;6127;44194;61952;61601;16050;2738;24291;230847;114750;102069;200788;36050;216878;89816;191511;22666;16016;41529;58445;104433;21552;7297;30729;4843;11752;161;2020/4/01
2643744;145998;20775;56545;3887;43896;37535;86066;79901;38700;28568;18079;148199;7154;44156;65096;66245;17794;3190;27297;257806;128872;108612;222183;41872;245419;113328;216196;25749;17509;49418;68585;116971;26200;8566;36219;5658;15309;191;2020/5/01
2812986;151601;21562;56918;3797;47196;40259;93021;85886;41574;30596;19356;159930;7660;42798;65100;68256;18657;3410;29389;277588;136486;111520;235876;45543;263974;125968;230602;27533;18650;54068;73590;124156;28362;9230;39748;6110;16809;207;2020/6/01
2853307;152395;21481;55779;3813;48031;41391;94940;88485;42401;31770;19870;160669;7817;42021;64203;68441;19029;3437;30275;283299;137834;112952;240682;46811;268546;124330;236111;28094;19367;55117;74595;126730;28648;9353;41505;6159;16712;214;2020/7/01
2910008;154523;21595;55665;3813;49180;42565;96932;91653;44126;33538;20284;160357;8164;41204;63577;68671;20016;3556;31930;285331;137847;113973;243043;49071;273280;123688;244295;29731;20870;58619;76110;134650;31113;9579;43411;6424;17376;248;2020/8/01
2955487;160651;21792;55666;3841;49565;43028;97410;93388;45021;34261;20700;159812;8288;41050;63232;68937;20281;3565;33579;287359;137748;115218;244543;50920;277390;123125;250442;30544;21417;60030;77757;142031;35110;9680;43985;6602;17259;260;2020/9/01
2847148;152519;20983;54322;3575;47129;41712;92866;89568;43017;33408;19881;154062;7989;39492;60821;67075;19641;3428;33038;277780;134143;114097;239222;49839;267107;117051;243373;29335;20460;57134;75116;131722;31228;9177;43292;6354;15982;210;2020/10/01
2759780;143824;20539;53115;3453;44454;40567;88458;85783;40840;33150;19160;149232;7831;38237;58586;66193;19251;3304;32762;268188;131295;114357;235471;48466;259168;112311;238346;28559;19673;55559;72518;125920;28349;9039;42429;6069;15101;223;2020/11/01
2699133;134652;20417;53393;3368;42469;39469;84564;82194;39267;32382;18614;149175;7610;37820;58046;65887;18586;3182;31544;261098;129662;114631;232844;47168;254517;115253;232092;27362;19291;52455;70698;121677;27033;8666;40976;5886;14965;220;2020/12/01
2707242;128730;21520;58463;3761;42455;39194;83920;81841;38999;31965;18425;150809;7528;40828;61353;67431;18177;3194;30966;260572;132494;115973;233318;46595;255247;117629;230269;26785;19387;51628;70747;120634;26274;8389;40224;5850;15458;210;2021/1/01
2900663;135839;24025;67724;5419;45808;41279;88955;88840;42148;33069;19287;159667;8236;54038;72584;72109;19852;3401;32656;278430;146090;118701;243700;49215;270463;124673;243566;29561;19964;53659;75835;127017;28540;9436;42621;6264;17770;222;2021/2/01
2904413;133932;24369;67985;5450;45258;40926;88371;89906;43220;32514;19233;161153;8043;54407;73119;72114;19493;3276;32247;282115;147368;118628;246156;47863;274617;124629;240544;28889;19511;52208;77704;126879;28216;9189;41385;6252;17042;202;2021/3/01
2827449;130715;22572;61707;4275;43934;40222;84604;86354;41841;31166;19123;160235;7787;48133;68486;69994;18885;3172;31161;278635;141238;117643;246260;45905;271236;120874;233977;27698;18868;50735;75997;125643;27216;8741;40111;6028;16052;226;2021/4/01
2771232;131519;21432;56643;3530;42556;39591;81214;81852;40243;30200;19121;158986;7671;41845;63325;68099;18566;3230;30566;274160;136041;117631;248204;44280;268188;116982;229880;26863;18612;51195;76003;126105;27180;8884;39206;5902;15499;228;2021/5/01
2687191;127927;20673;54060;3201;40657;38954;76765;77077;38568;28991;18891;154837;7398;38608;59567;65792;17688;3033;29694;267425;131300;116828;245783;42426;262250;111760;222805;25725;18135;49084;74491;123879;26234;8506;37698;5600;14658;223;2021/6/01
2613825;134024;19876;52071;2994;39249;37723;73032;73743;37296;28264;18388;146624;7154;36636;56963;63909;16953;2860;28911;259494;127475;116009;241634;41467;254465;102274;217790;25100;18113;48543;73110;122127;25413;8165;36311;5425;14021;219;2021/7/01
2590310;128816;19884;51794;2972;38638;37320;70850;72992;37506;28499;18141;140524;7168;35667;55945;63025;17086;2932;30182;253837;123637;114812;237835;42387;252719;97767;220167;25965;19055;50718;72492;127725;26597;8079;36308;5445;14580;244;2021/8/01
2578471;141120;19821;51099;2953;38542;36779;68950;71899;37218;28092;18030;136930;7183;34733;55277;61990;16918;2971;29842;248126;120731;113739;235877;41496;247167;94362;217430;25502;18769;51925;72658;135874;31046;7927;35460;5437;14336;262;2021/9/01
2464793;131534;19235;50293;2763;36664;35440;65522;67535;34824;26842;17463;131458;6882;33419;53138;60393;16111;2807;28274;238198;117161;113258;231607;39015;235184;89436;207643;23992;17755;49635;69920;125577;25956;7404;33818;5080;13305;252;2021/10/01
2376925;128394;18580;49077;2753;34654;33917;62799;64213;32603;25604;16636;126820;6633;32291;51416;58754;15463;2706;27246;230241;113937;112143;225779;37150;226237;85816;199911;22735;17045;48596;66908;118456;24131;7204;32566;4851;12423;237;2021/11/01
2317067;121759;18420;49541;2582;33638;32703;61497;62246;31588;24916;16026;124425;6389;32056;50764;58222;14995;2546;26183;224489;112097;111618;221419;35651;219902;86520;193811;21570;16534;45728;64414;114289;22896;6910;31498;4597;12380;248;2021/12/01
